TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=50,b_m=50, lr=1.000000, decay=0.001000, lambda=0.000100, n=1120, n0=100, n1=10, n2=10, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=10 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
7.131329e-02, 7.131329e-02, 0, 5.312543e-03, 1.442513e-03, 4.703433e-02, 1.379996e-02, 3.723941e-03, 14.115293, 6.422206e-01, 9.896727e-01, -1.247395, 2.000000e+00, 1, 14.115293, 6.422206e-01 
1.368976e-01, 6.558435e-02, 0, 3.394149e-04, 4.236854e-04, 1.678267e-02, 4.780501e-02, 2.335664e-04, 12.880780, 6.162137e-01, 9.483692e-01, -1.934363, 4.000000e+00, 1, 12.880780, 6.162137e-01 
2.547003e-01, 1.178026e-01, 0, 2.428974e-04, 3.382485e-05, 1.929912e-02, 9.816847e-02, 5.831871e-05, 11.046290, 5.695446e-01, 1.191869e-01, -7.897804, 2.000000e+00, 1, 11.046290, 5.695446e-01 
3.212235e-01, 6.652328e-02, 0, 2.670997e-04, 5.802712e-05, 1.613679e-02, 4.994823e-02, 1.131383e-04, 11.046290, 5.695446e-01, 6.788066e-01, -2.743351, 2.000000e+00, 1, 11.046290, 5.695446e-01 
6.108824e-01, 2.896588e-01, 0, 2.259850e-04, 5.161206e-05, 1.552473e-02, 2.737037e-01, 1.527950e-04, 9.184085, 4.890699e-01, 8.751883e-01, -1.704160, 4.000000e+00, 1, 9.184085, 4.890699e-01 
7.161345e-01, 1.052522e-01, 0, 2.423142e-04, 6.881608e-05, 1.677246e-02, 8.802043e-02, 1.481295e-04, 7.692625, 4.172982e-01, 5.072518e-01, -1.399280, 4.000000e+00, 1, 7.692625, 4.172982e-01 
7.495608e-01, 3.342624e-02, 0, 2.137381e-04, 7.989664e-05, 1.600790e-02, 1.698591e-02, 1.387985e-04, 6.982837, 4.169096e-01, 7.041782e-01, -2.154499, 4.000000e+00, 1, 6.982837, 4.169096e-01 
8.231861e-01, 7.362533e-02, 0, 1.997416e-04, 6.619174e-05, 1.461350e-02, 5.859573e-02, 1.501707e-04, 5.465686, 2.811698e-01, 2.171211e-01, -2.624127, 4.000000e+00, 1, 5.465686, 2.811698e-01 
9.867477e-01, 1.635615e-01, 0, 1.959509e-04, 3.965672e-05, 1.606476e-02, 1.471367e-01, 1.245105e-04, 4.895932, 1.234599e-01, 5.451429e-01, -0.343426, 4.000000e+00, 1, 4.895932, 1.234599e-01 
1.099436e+00, 1.126887e-01, 0, 2.011996e-04, 5.831871e-05, 1.558043e-02, 9.675453e-02, 9.418472e-05, 4.708716, 1.066421e-01, -7.289975e-01, -1.348086, 2.000000e+00, 1, 4.708716, 1.066421e-01 
1.153034e+00, 5.359752e-02, 0, 2.099474e-04, 5.831871e-05, 1.555477e-02, 3.761120e-02, 1.632924e-04, 4.708716, 1.066421e-01, 8.705773e-01, -0.201672, 4.000000e+00, 1, 4.708716, 1.066421e-01 
1.176486e+00, 2.345229e-02, 0, 2.032407e-04, 4.811294e-05, 1.563262e-02, 7.481124e-03, 8.718647e-05, 4.533145, 9.531930e-02, 5.577855e-01, -0.347926, 4.000000e+00, 1, 4.533145, 9.531930e-02 
1.206311e+00, 2.982477e-02, 0, 2.312337e-04, 6.094305e-05, 2.093788e-02, 8.470793e-03, 1.239273e-04, 4.339077, 1.009358e-01, 9.525021e-01, -0.277525, 8.000000e+00, 1, 4.339077, 1.009358e-01 
1.414037e+00, 2.077257e-01, 0, 2.221943e-04, 4.490541e-05, 2.570485e-02, 1.804591e-01, 1.294675e-03, 4.074733, 4.529436e-02, 1.105590e+00, -0.150407, 1.600000e+01, 1, 4.074733, 4.529436e-02 
1.441094e+00, 2.705784e-02, 0, 2.402731e-04, 3.790716e-05, 1.609188e-02, 1.064783e-02, 3.994832e-05, 3.908445, 4.342998e-02, 4.623795e-02, -0.821719, 8.000000e+00, 1, 3.908445, 4.342998e-02 
1.520758e+00, 7.966394e-02, 0, 1.968257e-04, 5.073728e-05, 2.132395e-02, 5.804549e-02, 4.694656e-05, 3.908445, 4.342998e-02, -2.558990e+00, -0.642792, 4.000000e+00, 1, 3.908445, 4.342998e-02 
1.553977e+00, 3.321863e-02, 0, 2.472713e-04, 6.794130e-05, 2.154818e-02, 1.120215e-02, 1.530866e-04, 3.908445, 4.342998e-02, 7.804109e-01, -0.115955, 4.000000e+00, 1, 3.908445, 4.342998e-02 
1.595920e+00, 4.194282e-02, 0, 2.446470e-04, 8.806126e-05, 2.002286e-02, 2.141376e-02, 1.734982e-04, 3.817952, 5.281964e-02, 1.022544e+00, -0.067206, 8.000000e+00, 1, 3.817952, 5.281964e-02 
1.628925e+00, 3.300548e-02, 0, 2.318169e-04, 1.052653e-04, 1.579067e-02, 1.683340e-02, 4.432222e-05, 3.749231, 5.310749e-02, -3.782443e-01, -2.225356, 4.000000e+00, 1, 3.749231, 5.310749e-02 
1.656683e+00, 2.775796e-02, 0, 2.408563e-04, 1.280096e-04, 1.519669e-02, 1.205914e-02, 1.332583e-04, 3.749231, 5.310749e-02, 9.800960e-01, -0.071743, 8.000000e+00, 1, 3.749231, 5.310749e-02 
1.690786e+00, 3.410245e-02, 0, 2.163624e-04, 1.137215e-04, 2.166686e-02, 1.199062e-02, 1.148879e-04, 3.678916, 5.253401e-02, 4.903558e-01, -0.245924, 8.000000e+00, 1, 3.678916, 5.253401e-02 
1.717192e+00, 2.640671e-02, 0, 2.044071e-04, 9.185197e-05, 1.567665e-02, 1.042914e-02, 4.665497e-06, 3.558325, 7.949997e-02, -6.419155e-01, -2.210091, 4.000000e+00, 1, 3.558325, 7.949997e-02 
1.854629e+00, 1.374365e-01, 0, 2.312337e-04, 9.564269e-05, 1.506314e-02, 1.219783e-01, 6.823289e-05, 3.558325, 7.949997e-02, 1.046235e+00, -0.644295, 8.000000e+00, 1, 3.558325, 7.949997e-02 
2.042669e+00, 1.880396e-01, 0, 2.332748e-04, 5.394481e-05, 1.577609e-02, 1.719285e-01, 4.782134e-05, 2.884241, 9.910565e-02, -5.379229e+00, -0.765664, 4.000000e+00, 1, 2.884241, 9.910565e-02 
2.484697e+00, 4.420281e-01, 0, 2.274430e-04, 4.373903e-05, 2.294491e-02, 4.187689e-01, 4.315585e-05, 2.884241, 9.910565e-02, -1.811279e-01, -0.731297, 2.000000e+00, 1, 2.884241, 9.910565e-02 
2.516865e+00, 3.216802e-02, 0, 2.163624e-04, 4.053151e-05, 1.589331e-02, 1.590235e-02, 1.154711e-04, 2.884241, 9.910565e-02, 8.606235e-01, -0.075585, 4.000000e+00, 1, 2.884241, 9.910565e-02 
2.558212e+00, 4.134709e-02, 0, 2.049903e-04, 1.166374e-05, 2.132657e-02, 1.970823e-02, 9.564269e-05, 2.819191, 9.189312e-02, 7.663866e-01, -0.271871, 4.000000e+00, 1, 2.819191, 9.189312e-02 
2.594231e+00, 3.601939e-02, 0, 2.405647e-04, 4.403063e-05, 1.477650e-02, 2.085186e-02, 1.064317e-04, 2.610833, 1.176009e-01, 3.378857e-01, -0.875392, 4.000000e+00, 1, 2.610833, 1.176009e-01 
2.634635e+00, 4.040379e-02, 0, 2.335664e-04, 6.385899e-05, 1.679521e-02, 2.317790e-02, 1.332583e-04, 2.315050, 1.135358e-01, 5.583390e-01, -0.461854, 4.000000e+00, 1, 2.315050, 1.135358e-01 
2.689444e+00, 5.480880e-02, 0, 2.356076e-04, 4.957091e-05, 2.672630e-02, 2.769147e-02, 1.058485e-04, 2.057180, 7.061081e-02, -1.268169e+00, 0.070990, 2.000000e+00, 1, 2.057180, 7.061081e-02 
2.717435e+00, 2.799123e-02, 0, 1.982836e-04, 5.219525e-05, 1.554398e-02, 1.204456e-02, 1.522118e-04, 2.057180, 7.061081e-02, 7.302790e-01, -0.194234, 2.000000e+00, 1, 2.057180, 7.061081e-02 
2.749542e+00, 3.210708e-02, 0, 2.032407e-04, 3.994832e-05, 1.538302e-02, 1.627967e-02, 2.011996e-04, 1.915335, 6.440043e-02, 1.030773e+00, -0.067326, 4.000000e+00, 1, 1.915335, 6.440043e-02 
2.830330e+00, 8.078804e-02, 0, 1.936181e-04, 1.049737e-05, 3.178224e-02, 4.869175e-02, 1.099308e-04, 1.845937, 6.085212e-02, 1.063200e+00, -0.067826, 8.000000e+00, 1, 1.845937, 6.085212e-02 
2.910816e+00, 8.048624e-02, 0, 2.682661e-04, 1.574605e-05, 2.130762e-02, 5.888878e-02, 5.831871e-06, 1.773824, 6.046488e-02, -7.798999e+00, -0.586482, 4.000000e+00, 1, 1.773824, 6.046488e-02 
3.010095e+00, 9.927886e-02, 0, 2.560191e-04, 1.312171e-05, 4.356845e-02, 5.543281e-02, 8.456213e-06, 1.773824, 6.046488e-02, -6.820747e-01, -0.218304, 2.000000e+00, 1, 1.773824, 6.046488e-02 
3.052226e+00, 4.213060e-02, 0, 2.630174e-04, 1.399649e-05, 2.328462e-02, 1.848382e-02, 8.514532e-05, 1.773824, 6.046488e-02, 1.087095e+00, -0.059633, 4.000000e+00, 1, 1.773824, 6.046488e-02 
3.107931e+00, 5.570516e-02, 0, 2.280262e-04, 1.428808e-05, 3.327637e-02, 2.214799e-02, 3.849035e-05, 1.708997, 5.793499e-02, 5.169171e-01, -0.087430, 4.000000e+00, 1, 1.708997, 5.793499e-02 
3.191752e+00, 8.382119e-02, 0, 2.020743e-04, 1.078896e-05, 2.171264e-02, 6.185428e-02, 4.140629e-05, 1.663803, 5.984934e-02, 7.119001e-01, -0.195198, 4.000000e+00, 1, 1.663803, 5.984934e-02 
3.253889e+00, 6.213684e-02, 0, 2.408563e-04, 1.253852e-05, 3.808970e-02, 2.375438e-02, 3.936513e-05, 1.524841, 6.687012e-02, 7.231026e-01, -0.126234, 4.000000e+00, 1, 1.524841, 6.687012e-02 
3.573835e+00, 3.199455e-01, 0, 2.093642e-04, 1.108056e-05, 1.497595e-02, 3.047103e-01, 3.878194e-05, 1.433561, 5.984507e-02, 6.909270e-01, -0.137039, 4.000000e+00, 1, 1.433561, 5.984507e-02 
3.819690e+00, 2.458557e-01, 0, 2.111137e-04, 1.253852e-05, 4.583326e-02, 1.997600e-01, 3.878194e-05, 1.338877, 5.976987e-02, 7.845305e-01, -0.163060, 4.000000e+00, 1, 1.338877, 5.976987e-02 
3.846174e+00, 2.648369e-02, 0, 2.143213e-04, 1.312171e-05, 1.444788e-02, 1.177047e-02, 3.790716e-05, 1.210952, 5.061634e-02, 7.584172e-01, -0.205960, 4.000000e+00, 1, 1.210952, 5.061634e-02 
3.952962e+00, 1.067880e-01, 0, 2.108221e-04, 1.224693e-05, 3.935522e-02, 6.717149e-02, 3.819876e-05, 1.054748, 4.242022e-02, 9.621485e-01, -0.097832, 8.000000e+00, 1, 1.054748, 4.242022e-02 
4.011324e+00, 5.836245e-02, 0, 2.335664e-04, 1.195534e-05, 4.392624e-02, 1.418574e-02, 4.957091e-06, 0.960619, 4.405084e-02, -3.129119e-01, -0.185184, 4.000000e+00, 1, 0.960619, 4.405084e-02 
4.083796e+00, 7.247121e-02, 0, 2.221943e-04, 1.195534e-05, 4.353025e-02, 2.866569e-02, 4.111469e-05, 0.960619, 4.405084e-02, 1.069776e+00, -0.067547, 8.000000e+00, 1, 0.960619, 4.405084e-02 
4.174899e+00, 9.110374e-02, 0, 2.373572e-04, 1.224693e-05, 7.918894e-02, 1.155235e-02, 1.128467e-04, 0.888359, 3.789008e-02, 8.707057e-01, -0.129266, 1.600000e+01, 1, 0.888359, 3.789008e-02 
4.709650e+00, 5.347502e-01, 0, 2.035323e-04, 1.457968e-05, 2.190707e-01, 3.153412e-01, 1.201365e-04, 0.775806, 4.279004e-02, 4.448520e-01, -0.028220, 1.600000e+01, 0, 0.775806, 4.279004e-02 
4.894793e+00, 1.851435e-01, 0, 2.058651e-04, 1.778721e-05, 1.604657e-01, 2.439064e-02, 6.356740e-05, 0.763252, 4.632594e-02, 1.149570e+00, -0.069048, 3.200000e+01, 0, 0.763252, 4.632594e-02 
5.180666e+00, 2.858731e-01, 0, 2.006164e-04, 1.545446e-05, 3.631535e-02, 2.493084e-01, 3.324167e-05, 0.683877, 3.688987e-02, -1.326044e-01, -3.552394, 1.600000e+01, 1, 0.683877, 3.688987e-02 
5.334108e+00, 1.534415e-01, 0, 2.044071e-04, 1.457968e-05, 1.299563e-01, 2.326100e-02, 5.248684e-06, 0.683877, 3.688987e-02, 1.245646e-01, -0.059729, 8.000000e+00, 1, 0.683877, 3.688987e-02 
5.707464e+00, 3.733567e-01, 0, 2.528116e-04, 1.895358e-05, 5.096297e-02, 3.221164e-01, 5.540278e-06, 0.683877, 3.688987e-02, -2.557974e+01, -0.098438, 4.000000e+00, 1, 0.683877, 3.688987e-02 
5.792425e+00, 8.496045e-02, 0, 2.172372e-04, 1.312171e-05, 5.350654e-02, 3.118389e-02, 3.965672e-05, 0.683877, 3.688987e-02, 8.614537e-01, -0.036427, 8.000000e+00, 1, 0.683877, 3.688987e-02 
5.830393e+00, 3.796840e-02, 0, 2.134465e-04, 1.253852e-05, 2.034857e-02, 1.735682e-02, 3.703238e-05, 0.652497, 3.247768e-02, 9.949329e-01, -0.016192, 1.600000e+01, 0, 0.652497, 3.247768e-02 
5.859771e+00, 2.937776e-02, 0, 2.058651e-04, 1.399649e-05, 1.551219e-02, 1.360838e-02, 3.732398e-05, 0.636387, 3.557201e-02, 1.097624e+00, -0.032790, 3.200000e+01, 0, 0.636387, 3.557201e-02 
5.967991e+00, 1.082197e-01, 0, 2.172372e-04, 1.457968e-05, 9.348810e-02, 1.445954e-02, 4.023991e-05, 0.600396, 3.430972e-02, 1.185602e+00, -0.057400, 6.400000e+01, 0, 0.600396, 3.430972e-02 
6.345896e+00, 3.779055e-01, 0, 2.239439e-04, 1.662083e-05, 3.579579e-01, 1.966915e-02, 3.790716e-05, 0.532342, 2.178630e-02, 1.179788e+00, -0.027492, 1.280000e+02, 0, 0.532342, 2.178630e-02 
6.376209e+00, 3.031261e-02, 0, 2.032407e-04, 1.428808e-05, 1.478613e-02, 1.526988e-02, 3.907354e-05, 0.499907, 2.214604e-02, 1.110114e+00, -0.005164, 2.560000e+02, 0, 0.499907, 2.214604e-02 
7.219489e+00, 8.432798e-01, 0, 2.035323e-04, 1.428808e-05, 6.976318e-01, 1.453792e-01, 5.102887e-05, 0.494175, 2.148106e-02, -4.562921e+00, -0.007172, 1.280000e+02, 0, 0.494175, 2.148106e-02 
7.316780e+00, 9.729165e-02, 0, 2.058651e-04, 1.428808e-05, 2.618977e-02, 7.087531e-02, 6.415058e-06, 0.494175, 2.148106e-02, -4.312744e+00, -0.009192, 6.400000e+01, 0, 0.494175, 2.148106e-02 
7.506136e+00, 1.893556e-01, 0, 2.102390e-04, 1.370490e-05, 3.081298e-02, 1.582729e-01, 4.578019e-05, 0.494175, 2.148106e-02, 3.517062e+00, 0.051915, 3.200000e+01, 0, 0.494175, 2.148106e-02 
7.779210e+00, 2.730739e-01, 0, 2.014912e-04, 1.370490e-05, 2.042735e-01, 6.854694e-02, 3.819876e-05, 0.494175, 2.148106e-02, 1.199102e+00, -0.048045, 6.400000e+01, 0, 0.494175, 2.148106e-02 
7.872208e+00, 9.299823e-02, 0, 2.020743e-04, 1.428808e-05, 4.795344e-02, 4.479052e-02, 3.790716e-05, 0.436563, 1.702020e-02, 7.030647e-01, -0.004078, 6.400000e+01, 0, 0.436563, 1.702020e-02 
8.482330e+00, 6.101225e-01, 0, 2.006164e-04, 2.536864e-05, 3.885260e-01, 2.213647e-01, 5.831871e-06, 0.433696, 1.691425e-02, 1.497180e+00, 0.936410, 3.200000e+01, 0, 0.433696, 1.691425e-02 
8.569044e+00, 8.671351e-02, 0, 2.032407e-04, 1.428808e-05, 1.526784e-02, 7.122289e-02, 5.248684e-06, 0.433696, 1.691425e-02, -5.934913e+01, -0.007246, 1.600000e+01, 0, 0.433696, 1.691425e-02 
8.617594e+00, 4.854974e-02, 0, 1.977004e-04, 1.312171e-05, 2.686247e-02, 2.143767e-02, 3.878194e-05, 0.433696, 1.691425e-02, 1.212780e+00, -0.013942, 3.200000e+01, 0, 0.433696, 1.691425e-02 
8.705172e+00, 8.757867e-02, 0, 2.020743e-04, 1.428808e-05, 4.403821e-02, 4.328648e-02, 3.761557e-05, 0.416788, 1.731812e-02, 1.223952e+00, -0.030744, 6.400000e+01, 0, 0.416788, 1.731812e-02 
8.761269e+00, 5.609648e-02, 0, 1.962425e-04, 1.195534e-05, 3.144603e-02, 2.443729e-02, 4.957091e-06, 0.379159, 2.036920e-02, -3.988041e-01, -0.036809, 3.200000e+01, 0, 0.379159, 2.036920e-02 
9.046645e+00, 2.853765e-01, 0, 1.942013e-04, 1.312171e-05, 2.705216e-01, 1.460592e-02, 4.169788e-05, 0.379159, 2.036920e-02, 9.462233e-01, -0.029042, 6.400000e+01, 0, 0.379159, 2.036920e-02 
9.113068e+00, 6.642268e-02, 0, 2.230691e-04, 1.370490e-05, 3.868863e-02, 2.745470e-02, 4.257266e-05, 0.351679, 2.429055e-02, 8.761121e-01, -0.032693, 1.280000e+02, 0, 0.351679, 2.429055e-02 
9.445001e+00, 3.319332e-01, 0, 2.213195e-04, 1.837039e-05, 3.230530e-01, 8.602010e-03, 3.849035e-05, 0.323037, 2.781092e-02, 8.427776e-01, -0.042930, 2.560000e+02, 0, 0.323037, 2.781092e-02 
9.487492e+00, 4.249043e-02, 0, 2.163624e-04, 1.399649e-05, 3.552134e-02, 6.701112e-03, 3.761557e-05, 0.286856, 1.403248e-02, 8.060945e-01, -0.005481, 5.120000e+02, 0, 0.286856, 1.403248e-02 
9.603679e+00, 1.161878e-01, 0, 1.965341e-04, 1.370490e-05, 2.217977e-02, 9.379165e-02, 6.123465e-06, 0.282438, 1.191944e-02, -1.110780e+00, -0.004628, 2.560000e+02, 0, 0.282438, 1.191944e-02 
9.657609e+00, 5.392906e-02, 0, 2.146129e-04, 1.428808e-05, 3.737034e-02, 1.629104e-02, 3.878194e-05, 0.282438, 1.191944e-02, 1.048435e+00, -0.010557, 5.120000e+02, 0, 0.282438, 1.191944e-02 
9.732414e+00, 7.480541e-02, 0, 2.014912e-04, 1.457968e-05, 5.342898e-02, 2.112245e-02, 3.790716e-05, 0.271369, 1.250442e-02, 9.743066e-01, -0.006296, 1.024000e+03, 0, 0.271369, 1.250442e-02 
9.835027e+00, 1.026132e-01, 0, 2.014912e-04, 1.341330e-05, 3.758583e-02, 6.480754e-02, 4.957091e-06, 0.265235, 1.284916e-02, 1.422195e-01, -0.010288, 5.120000e+02, 0, 0.265235, 1.284916e-02 
9.873370e+00, 3.834251e-02, 0, 2.105306e-04, 1.632924e-05, 2.598973e-02, 1.204835e-02, 7.756389e-05, 0.265235, 1.284916e-02, 1.096722e+00, -0.003848, 1.024000e+03, 0, 0.265235, 1.284916e-02 
1.042333e+01, 5.499618e-01, 0, 2.437722e-04, 1.516287e-05, 5.322107e-01, 1.745333e-02, 3.878194e-05, 0.261015, 1.232454e-02, 1.186560e+00, -0.014675, 2.048000e+03, 0, 0.261015, 1.232454e-02 
1.044913e+01, 2.580049e-02, 0, 2.052819e-04, 1.399649e-05, 1.541130e-02, 1.013229e-02, 3.761557e-05, 0.243603, 1.174839e-02, 2.503039e-01, -0.007811, 2.048000e+03, 0, 0.243603, 1.174839e-02 
1.088653e+01, 4.374000e-01, 0, 1.959509e-04, 1.224693e-05, 4.267941e-01, 1.035974e-02, 3.790716e-05, 0.241648, 1.413239e-02, 1.129956e+00, -0.005469, 4.096000e+03, 0, 0.241648, 1.413239e-02 
1.107648e+01, 1.899487e-01, 0, 2.204447e-04, 1.399649e-05, 3.140929e-02, 1.582994e-01, 5.540278e-06, 0.235468, 1.005034e-02, 1.928898e+00, 0.010857, 2.048000e+03, 0, 0.235468, 1.005034e-02 
1.130082e+01, 2.243433e-01, 0, 2.061566e-04, 1.457968e-05, 1.772233e-01, 4.689145e-02, 7.873026e-06, 0.235468, 1.005034e-02, -1.430802e-01, -0.004046, 1.024000e+03, 0, 0.235468, 1.005034e-02 
1.141916e+01, 1.183330e-01, 0, 2.449386e-04, 1.720402e-05, 3.076108e-02, 8.726841e-02, 4.140629e-05, 0.235468, 1.005034e-02, 6.736679e-01, -0.012306, 1.024000e+03, 0, 0.235468, 1.005034e-02 
1.161894e+01, 1.997830e-01, 0, 2.289009e-04, 1.574605e-05, 1.791997e-01, 2.029899e-02, 3.965672e-05, 0.227178, 1.272792e-02, 7.777328e-01, -0.011387, 1.024000e+03, 0, 0.227178, 1.272792e-02 
1.165541e+01, 3.647194e-02, 0, 2.146129e-04, 1.457968e-05, 1.665087e-02, 1.955485e-02, 3.703238e-05, 0.218322, 1.419739e-02, 7.752056e-01, -0.008817, 1.024000e+03, 0, 0.218322, 1.419739e-02 
1.219948e+01, 5.440643e-01, 0, 2.038239e-04, 1.253852e-05, 2.990691e-01, 2.447377e-01, 4.111469e-05, 0.211486, 1.418802e-02, 1.007093e+00, -0.003849, 2.048000e+03, 0, 0.211486, 1.418802e-02 
1.225002e+01, 5.054191e-02, 0, 2.224859e-04, 1.574605e-05, 2.251277e-02, 2.778478e-02, 6.123465e-06, 0.207610, 1.421262e-02, -1.942093e+00, -0.008742, 1.024000e+03, 0, 0.207610, 1.421262e-02 
1.231360e+01, 6.357731e-02, 0, 2.391067e-04, 1.457968e-05, 4.546760e-02, 1.781491e-02, 4.111469e-05, 0.207610, 1.421262e-02, 8.792251e-01, -0.007344, 2.048000e+03, 0, 0.207610, 1.421262e-02 
1.282359e+01, 5.099954e-01, 0, 2.277346e-04, 1.603765e-05, 4.459364e-01, 6.377734e-02, 3.790716e-05, 0.201153, 8.985877e-03, 1.110722e+00, -0.016615, 4.096000e+03, 0, 0.201153, 8.985877e-03 
1.351599e+01, 6.924000e-01, 0, 2.114053e-04, 1.399649e-05, 4.207150e-01, 2.714132e-01, 4.636338e-05, 0.182698, 7.796693e-03, 1.061298e+00, -0.007220, 8.192000e+03, 0, 0.182698, 7.796693e-03 
1.395726e+01, 4.412671e-01, 0, 7.418140e-04, 1.982836e-05, 4.202776e-01, 2.022172e-02, 6.123465e-06, 0.175035, 6.453036e-03, -3.870858e+00, -0.007565, 4.096000e+03, 0, 0.175035, 6.453036e-03 
1.405670e+01, 9.944623e-02, 0, 2.137381e-04, 1.399649e-05, 7.688272e-02, 2.229728e-02, 3.849035e-05, 0.175035, 6.453036e-03, 1.046082e+00, -0.001679, 8.192000e+03, 0, 0.175035, 6.453036e-03 
1.437544e+01, 3.187357e-01, 0, 2.049903e-04, 1.428808e-05, 3.068620e-01, 1.160280e-02, 5.161206e-05, 0.173279, 6.314390e-03, 8.572442e-01, -0.010926, 1.638400e+04, 0, 0.173279, 6.314390e-03 
1.468588e+01, 3.104442e-01, 0, 2.551444e-04, 1.778721e-05, 2.494318e-01, 6.073369e-02, 5.831871e-06, 0.163912, 7.943954e-03, 3.344438e+01, 0.005018, 8.192000e+03, 0, 0.163912, 7.943954e-03 
1.488645e+01, 2.005685e-01, 0, 2.376488e-04, 1.516287e-05, 9.193653e-02, 1.083737e-01, 5.540278e-06, 0.163912, 7.943954e-03, -4.084030e+00, -0.009989, 4.096000e+03, 0, 0.163912, 7.943954e-03 
1.511414e+01, 2.276835e-01, 0, 2.029491e-04, 1.487127e-05, 3.711432e-02, 1.903456e-01, 5.831871e-06, 0.163912, 7.943954e-03, 1.296229e+00, 0.008727, 2.048000e+03, 0, 0.163912, 7.943954e-03 
1.515552e+01, 4.138704e-02, 0, 2.070314e-04, 1.516287e-05, 2.367827e-02, 1.744517e-02, 4.140629e-05, 0.163912, 7.943954e-03, 3.465146e-01, -0.007992, 2.048000e+03, 0, 0.163912, 7.943954e-03 
1.568202e+01, 5.264938e-01, 0, 3.026741e-04, 2.128633e-05, 2.079756e-01, 3.181886e-01, 5.540278e-06, 0.161143, 8.161365e-03, -1.817181e+01, -0.008793, 1.024000e+03, 0, 0.161143, 8.161365e-03 
1.604302e+01, 3.610010e-01, 0, 2.122801e-04, 1.428808e-05, 5.364447e-02, 3.071244e-01, 5.540278e-06, 0.161143, 8.161365e-03, -8.119341e+00, -0.008142, 5.120000e+02, 0, 0.161143, 8.161365e-03 
1.642743e+01, 3.844145e-01, 0, 2.049903e-04, 1.603765e-05, 3.672886e-01, 1.686665e-02, 3.819876e-05, 0.161143, 8.161365e-03, 1.104907e+00, -0.003671, 1.024000e+03, 0, 0.161143, 8.161365e-03 
1.691563e+01, 4.881944e-01, 0, 2.058651e-04, 1.487127e-05, 1.570199e-01, 3.309479e-01, 5.831871e-06, 0.157086, 6.893028e-03, -1.474304e+01, -0.003823, 5.120000e+02, 0, 0.157086, 6.893028e-03 
1.696522e+01, 4.959423e-02, 0, 2.525200e-04, 1.662083e-05, 3.894319e-02, 1.034370e-02, 3.819876e-05, 0.157086, 6.893028e-03, 3.143671e-01, -0.016362, 5.120000e+02, 0, 0.157086, 6.893028e-03 
1.699589e+01, 3.066748e-02, 0, 2.090726e-04, 1.487127e-05, 1.545650e-02, 1.498149e-02, 5.540278e-06, 0.151943, 6.414036e-03, -1.048716e+01, -0.000812, 2.560000e+02, 0, 0.151943, 6.414036e-03 
1.722985e+01, 2.339659e-01, 0, 1.965341e-04, 1.224693e-05, 5.882696e-02, 1.749244e-01, 5.831871e-06, 0.151943, 6.414036e-03, -6.164913e+01, -0.018689, 1.280000e+02, 0, 0.151943, 6.414036e-03 
1.726986e+01, 4.000314e-02, 0, 2.315253e-04, 1.545446e-05, 2.114403e-02, 1.857218e-02, 3.994832e-05, 0.151943, 6.414036e-03, 1.131912e+00, -0.012216, 2.560000e+02, 0, 0.151943, 6.414036e-03 
1.778770e+01, 5.178387e-01, 0, 2.125717e-04, 1.399649e-05, 1.520573e-02, 5.023997e-01, 6.706652e-06, 0.138116, 5.671795e-03, -8.962633e-02, -134629.480243, 1.280000e+02, 1, 0.138116, 5.671795e-03 
1.797200e+01, 1.843067e-01, 0, 2.151960e-04, 1.428808e-05, 1.511825e-02, 1.689528e-01, 6.123465e-06, 0.138116, 5.671795e-03, 1.127895e+02, 0.043995, 6.400000e+01, 0, 0.138116, 5.671795e-03 
1.822114e+01, 2.491416e-01, 0, 2.061566e-04, 1.487127e-05, 1.558422e-02, 2.333305e-01, 5.831871e-06, 0.138116, 5.671795e-03, -2.133800e+00, -0.004657, 3.200000e+01, 0, 0.138116, 5.671795e-03 
1.827919e+01, 5.804491e-02, 0, 2.236523e-04, 1.428808e-05, 2.616848e-02, 3.159358e-02, 4.490541e-05, 0.138116, 5.671795e-03, 8.351357e-01, -0.007937, 6.400000e+01, 0, 0.138116, 5.671795e-03 
1.848380e+01, 2.046138e-01, 0, 2.076146e-04, 1.428808e-05, 4.803858e-02, 1.563475e-01, 5.831871e-06, 0.131487, 4.755570e-03, -2.306701e+01, -0.002138, 3.200000e+01, 0, 0.131487, 4.755570e-03 
1.852928e+01, 4.547460e-02, 0, 2.151960e-04, 1.428808e-05, 1.662608e-02, 2.858113e-02, 3.790716e-05, 0.131487, 4.755570e-03, 7.641278e-01, -0.002032, 3.200000e+01, 0, 0.131487, 4.755570e-03 
1.856651e+01, 3.723679e-02, 0, 2.017827e-04, 1.399649e-05, 2.402177e-02, 1.299399e-02, 5.248684e-06, 0.129935, 5.514919e-03, -3.993183e-01, -0.008065, 1.600000e+01, 0, 0.129935, 5.514919e-03 
1.884856e+01, 2.820485e-01, 0, 2.020743e-04, 1.253852e-05, 1.962923e-01, 8.553547e-02, 6.123465e-06, 0.129935, 5.514919e-03, -4.539008e-01, -0.011826, 8.000000e+00, 0, 0.129935, 5.514919e-03 
